generation_seed,evaluator_seed,rmse,mae,rul_score,discriminative_score,fake_accuracy,real_accuracy,predictive_seconds,discriminative_seconds
3,3,30.181800888583137,24.43480363499704,116.04911048466676,0.4096653827636013,0.9506499759268175,0.8686807896003852,24.650038719177246,35.99785876274109
3,13,30.226825554995163,24.34707428773858,115.46744666713087,0.37253249879634087,0.8716899374097256,0.8733750601829562,25.001365423202515,36.73678708076477
3,23,29.934590594393867,24.197185442714616,111.9845755094761,0.37794896485315355,0.8501444390948484,0.9057534906114588,25.4999258518219,36.5810751914978
3,33,30.021261898254917,24.240698081646187,98.30546737012608,0.37403707270101105,0.8450890707751565,0.9029850746268657,24.861761808395386,35.869890451431274
3,43,30.57025539220547,24.834078424225442,108.3629554654345,0.39257342320654787,0.9002166586422725,0.8849301877708233,25.303810596466064,35.922571659088135
13,3,31.578149441563284,25.834480727501358,118.94260111744153,0.4181511795859413,0.8968464130958113,0.9394559460760713,24.606236457824707,34.8796660900116
13,13,31.799722056980777,25.92329118794916,124.660080409633,0.3859532980259991,0.8285989407799711,0.943307655272027,24.1926326751709,35.1052987575531
13,23,31.41666705394045,25.66083487580642,121.01716026708,0.3738565238324506,0.8435243139142995,0.9041887337506018,24.95907998085022,36.35226559638977
13,33,30.942041367920574,25.500849963155034,104.32488046092874,0.39124939817043813,0.9270582571015888,0.8554405392392874,25.182586193084717,35.671082735061646
13,43,31.480100423268677,25.809295941503812,119.96553731899876,0.4303683196918633,0.8849301877708233,0.9758064516129032,24.49581503868103,36.64964485168457
23,3,30.313583160321567,24.77661657149267,118.93439235984165,0.35477852672123256,0.7270101107366393,0.9825469427058258,25.49914264678955,36.332159996032715
23,13,29.49151634082465,24.11600960175503,112.68294775259902,0.3597135291285508,0.823302840635532,0.8961242176215696,24.90421152114868,35.45488452911377
23,23,29.949111636834605,24.402606735818633,126.42457698960139,0.1890346653827636,0.7384448724121329,0.6396244583533943,24.48042631149292,34.78629207611084
23,33,29.835212985297225,24.39670584468768,106.74353061149417,0.24512518054886856,0.571738083774675,0.9185122773230621,24.91294813156128,35.99886870384216
23,43,29.562836982309697,24.272758653265168,104.10943436899338,0.30175734232065476,0.6695955705344246,0.9339191141068849,25.456116914749146,36.18814730644226
33,3,26.160687664445362,20.31971973802132,49.94763922083834,0.07197881559942221,0.7752768415984593,0.3686807896003852,24.971932411193848,35.226009130477905
33,13,24.805439445058774,19.031152110302312,44.32175975580846,0.08070534424650944,0.5866634569090033,0.5747472315840154,24.352656841278076,34.49406671524048
33,23,25.856241342647543,19.797484744009363,48.92929346210749,0.0727611940298507,0.717741935483871,0.4277804525758305,25.097809314727783,37.31849241256714
33,33,25.922833853799194,20.341049949174682,46.66466244936255,0.13155994222436207,0.444872412132884,0.8182474723158402,26.158395051956177,36.61075162887573
33,43,25.797540179333858,19.880907139722904,47.20025742884916,0.05609051516610497,0.5012036591237362,0.6109773712084737,24.795562267303467,35.30174803733826
43,3,33.041689024602974,26.99718646561317,34.63536529147204,0.3780693307655272,0.7993500240731825,0.9567886374578719,24.7154278755188,36.20750069618225
43,13,32.964282597595,27.046864999307168,34.23855559835702,0.38071738083774675,0.8099422243620606,0.9514925373134329,25.182238578796387,35.714125633239746
43,23,33.54885824290449,27.472365655494013,35.306180076433684,0.4422845450168512,0.8902262879152624,0.9943428021184401,24.594735145568848,34.9660005569458
43,33,33.05187635979677,27.05256074736017,34.2139768973861,0.39052720269619645,0.8472556571978815,0.9337987481945114,24.553632259368896,35.88121747970581
43,43,33.11752664668235,27.126921314990657,34.29720529068042,0.3592922484352431,0.832691381800674,0.8858931150698123,25.308528661727905,36.38829040527344
53,3,25.41873188662731,19.68370632591395,29.402331379585938,0.09581126624939817,0.6596051998074145,0.5320173326913819,25.475997924804688,37.02022671699524
53,13,25.009520940539204,19.39078542348501,28.446835103216674,0.08455705344246511,0.4031054405392393,0.7660086663456909,25.308854579925537,36.39465951919556
53,23,25.235675074034717,19.45123781660809,29.97778679396893,0.09123736157920082,0.5503129513721714,0.6321617717862301,24.99200963973999,36.17713761329651
53,33,24.046810314800382,18.679918033275825,20.28108871794135,0.0880476649013,0.7325469427058258,0.4435483870967742,24.948615550994873,35.95487713813782
53,43,24.571348340986688,19.09007860794951,25.83087855202812,0.1037554164660568,0.6389022628791526,0.568608570052961,24.793550968170166,34.912503242492676
63,3,30.45924225360669,25.260630972136862,25.571182839598134,0.4174891670678864,0.8592922484352431,0.9756860857005296,24.884156942367554,35.75752902030945
63,13,30.665067234512076,25.415879713522422,26.129175422017383,0.41014684641309584,0.9169475204622051,0.9033461723639865,25.262609720230103,35.88238525390625
63,23,29.96495606791165,24.61484549680732,23.72339440862571,0.3965454983148772,0.9108088589311507,0.8822821376986038,24.668460607528687,34.854106426239014
63,33,30.6946086199701,25.352779948113046,24.94710190615027,0.4359653346172364,0.9025036109773712,0.9694270582571016,24.608231782913208,36.64317345619202
63,43,30.1476753553084,25.002523963515824,23.912733762188317,0.4374699085219066,0.8988926336061628,0.9760471834376505,25.846233367919922,37.551011085510254
