metric,generation_seed,mean,sample_std,pooled_within_std,between_generation_std_of_means,corrected_generation_component_std,total_std
rmse,3,30.186946865686515,0.24478429970945623,,,,
rmse,13,31.443336068734755,0.3156520431148322,,,,
rmse,23,29.830452221117547,0.3293985705881821,,,,
rmse,33,25.708548497056945,0.5233752708991425,,,,
rmse,43,33.14484657431632,0.232303732934605,,,,
rmse,53,24.85641731139766,0.5523139189181536,,,,
rmse,63,30.386309906261783,0.3211535373531618,,,,
rmse,aggregate,29.3652653492245,,0.3787452860850708,3.0066313443571695,3.0018564993224888,2.8450757510571525
discriminative_score,3,0.38535146846413093,0.015735800372099512,,,,
discriminative_score,13,0.3999157438613385,0.023500153619885913,,,,
discriminative_score,23,0.29008184882041405,0.07314742559579754,,,,
discriminative_score,33,0.08261916225324988,0.028779455668172357,,,,
discriminative_score,43,0.39017814155031294,0.03124606699769963,,,,
discriminative_score,53,0.09268175252768418,0.007449692237281306,,,,
discriminative_score,63,0.4195233509870005,0.01741017094052843,,,,
discriminative_score,aggregate,0.29433592406630443,,0.03446241066684355,0.14707993261544997,0.1462702123754911,0.14165301582264567
