generation_seed,evaluator_seed,rmse,mae,rul_score,discriminative_score,fake_accuracy,real_accuracy,predictive_seconds,discriminative_seconds
3,3,25.755348302811427,20.575514073537583,17.818812230847563,0.1186807896003852,0.4545016851227732,0.7828598940779972,25.117875337600708,35.63532543182373
3,13,25.178864696371708,20.113422717827167,15.032097996401317,0.2644439094848339,0.6656234954260953,0.8632643235435724,24.43361186981201,35.03599691390991
3,23,25.458845178051305,20.24568390017771,17.023731888245457,0.09833895040924412,0.4538998555609052,0.7427780452575831,25.123596906661987,36.071173906326294
3,33,23.884656683402067,19.144436839924815,11.24571774714898,0.10128791526239767,0.6220510351468465,0.580524795377949,24.528149843215942,35.769705057144165
3,43,26.529828940072353,21.206135882373943,18.506616444879626,0.11428743379874817,0.4207992296581608,0.8077756379393356,24.73256492614746,35.694676876068115
13,3,25.27853413130957,19.21716661895104,44.926544995132616,0.1269258545979779,0.6023110255175734,0.6515406836783822,24.57032036781311,36.08655142784119
13,13,23.618128660593868,17.932763699859265,28.880272664503426,0.12391670678863742,0.2735917188252287,0.9742416947520463,25.42475986480713,35.388355016708374
13,23,25.53778551001975,19.399454254901546,43.12169856503747,0.14064756860857008,0.3890226287915262,0.8922725084256139,24.648439645767212,36.559680223464966
13,33,23.998907659597087,18.521833031334012,25.60510172921984,0.1277082330284064,0.8932354357246028,0.36218103033220994,25.9619562625885,37.51327061653137
13,43,23.99933615378293,18.511466105472167,30.194119704617346,0.1407077515647569,0.5597014925373134,0.7217140105922003,25.85480523109436,37.108192682266235
23,3,31.690112185319702,25.70154873468701,149.16586691542827,0.4289239287433799,0.9200770341839191,0.9377708233028407,24.50360608100891,35.23233222961426
23,13,31.48834912079041,25.57110259523723,133.89658908665166,0.39094848338950405,0.9063553201733269,0.8755416466056812,25.45208740234375,36.78683090209961
23,23,31.76592024124631,25.759249337391502,131.65734635766952,0.40503129513721714,0.9287433798748195,0.8813192103996148,26.00271725654602,37.52939033508301
23,33,31.78541327800769,25.617283051538653,169.24833657370064,0.40069812229176693,0.8773471352912855,0.9240491092922485,26.360029935836792,38.218061685562134
23,43,31.566478232851694,25.647933930503815,151.49848532657413,0.4096051998074145,0.9146605681271064,0.9045498314877227,25.938173532485962,37.4502911567688
33,3,26.440160187685958,20.638367104254176,50.8693342397904,0.09027443428021187,0.4046701974000963,0.7758786711603274,29.360430240631104,37.41466975212097
33,13,24.927763096221195,19.250159000337813,40.254367352547476,0.1638781896966779,0.6558738565238325,0.6718825228695233,25.70450472831726,37.2130982875824
33,23,25.355043611032063,19.55239435512587,41.58197054982031,0.09406596051998073,0.609653346172364,0.5784785748675975,25.08767580986023,35.2567834854126
33,33,24.322874998458783,18.817634873408608,29.379369915567366,0.11741694752046217,0.4413818006740491,0.7934520943668752,24.728504419326782,35.030301570892334
33,43,24.923071327442024,19.251111669429942,37.37300201468021,0.07589070775156481,0.5405633124699085,0.611218103033221,24.55827021598816,35.43760871887207
53,3,27.18688002982667,22.04723225597249,26.08637362074457,0.49037072701011075,0.9916947520462205,0.9890467019740009,24.641209840774536,37.078680992126465
53,13,28.021659592659354,22.829230853489467,25.355815722646607,0.47779248916706785,0.9983148772267694,0.9572701011073664,25.824522733688354,36.89195656776428
53,23,28.032731265108783,22.809208880980503,20.894018514670673,0.48062108810784787,0.9778526721232547,0.983389504092441,26.450034856796265,41.568225383758545
53,33,27.24086622994243,22.226774948444145,18.122329872265567,0.4850746268656716,0.9837506018295619,0.9863986519017814,25.945270776748657,37.02640461921692
53,43,27.197816176141764,22.20813306418165,24.082142830248642,0.41652623976889747,0.8592922484352431,0.9737602311025517,26.068723917007446,37.31498336791992
63,3,25.853844143246572,20.31966090110278,24.69103915056388,0.15966538276360132,0.6577997111218103,0.6615310544053924,24.77932119369507,35.37106466293335
63,13,24.71209739536469,19.46744814986888,19.498026322456948,0.09165864227250842,0.7610736639383726,0.4222436206066442,24.90870761871338,35.601712703704834
63,23,25.41099962626598,19.954116383114375,23.24696851298171,0.07143716899374097,0.44102070293692824,0.7018536350505536,25.80409049987793,36.0305757522583
63,33,24.05619766365497,18.857080732073104,15.320439209322727,0.06788637457871927,0.6150698122291767,0.5207029369282619,24.673171997070312,35.0844669342041
63,43,24.643422310108893,19.410225122591704,18.168680483585124,0.057835820895522416,0.37915262397688976,0.7365190178141551,25.55443787574768,36.64915370941162
