dataset,generation_seed,theta_1_quantile,theta_2_quantile,theta_mean_quantile,rmse_five_evaluator_mean,rmse_five_evaluator_sd,rmse_source,checkpoint
FD002,3,0.3644869327545166,0.4880968928337097,0.42629191279411316,26.990459387288883,0.1842246642026416,results/frequency_threshold_validation/fd002_public_arm_seven_seeds_evaluation_summary.csv,checkpoints/FD002_w48_seed3.pth
FD002,13,0.2985737919807434,0.49599048495292664,0.397282138466835,23.54035931673415,0.4439838456160173,results/frequency_threshold_validation/fd002_public_arm_seven_seeds_evaluation_summary.csv,checkpoints/FD002_w48_seed13.pth
FD002,23,0.0741274356842041,0.49625810980796814,0.2851927727460861,26.849480240864455,1.1134286350707072,results/frequency_threshold_validation/fd002_public_arm_seven_seeds_evaluation_summary.csv,checkpoints/FD002_w48_seed23.pth
FD002,33,0.06935897469520569,0.41670921444892883,0.24303409457206726,25.212566476800994,0.3575715155683671,results/frequency_threshold_validation/fd002_public_arm_seven_seeds_evaluation_summary.csv,checkpoints/FD002_w48_seed33.pth
FD002,43,0.28632768988609314,0.4584011435508728,0.37236441671848297,31.36615502966314,0.36402989758952703,results/frequency_threshold_validation/fd002_public_arm_seven_seeds_evaluation_summary.csv,checkpoints/FD002_w48_seed43.pth
FD002,53,0.2981482744216919,0.04880553483963013,0.173476904630661,35.30436647425945,1.7426230615627414,results/frequency_threshold_validation/fd002_public_arm_seven_seeds_evaluation_summary.csv,checkpoints/FD002_w48_seed53.pth
FD002,63,0.27352333068847656,0.18644553422927856,0.22998443245887756,28.799060911401376,0.23081597670133874,results/frequency_threshold_validation/fd002_public_arm_seven_seeds_evaluation_summary.csv,checkpoints/FD002_w48_seed63.pth
FD003,3,0.3644869327545166,0.4880968928337097,0.42629191279411316,20.409536777019913,1.6509612403847551,results/fd003_w48_public_code_evaluation_summary.csv,checkpoints/FD003_w48_seed3.pth
FD003,13,0.2985737919807434,0.49599048495292664,0.397282138466835,18.83345277977101,1.4855389069543745,results/fd003_w48_public_code_evaluation_summary.csv,checkpoints/FD003_w48_seed13.pth
FD003,23,0.0741274356842041,0.49625810980796814,0.2851927727460861,21.965241755313162,1.940107450093998,results/fd003_w48_public_code_evaluation_summary.csv,checkpoints/FD003_w48_seed23.pth
FD003,33,0.06935897469520569,0.41670921444892883,0.24303409457206726,20.780698670230713,1.5643818028238659,results/fd003_w48_public_code_evaluation_summary.csv,checkpoints/FD003_w48_seed33.pth
FD003,43,0.28632768988609314,0.4584011435508728,0.37236441671848297,21.597394764996196,1.1459087472766871,results/fd003_w48_public_code_evaluation_summary.csv,checkpoints/FD003_w48_seed43.pth
FD004,3,0.3644869327545166,0.4880968928337097,0.42629191279411316,35.732541907721796,0.47992256488863655,results/fd004_w48_public_code_evaluation_summary.csv,checkpoints/FD004_w48_seed3.pth
FD004,13,0.2985737919807434,0.49599048495292664,0.397282138466835,30.176715175557877,0.3234083456888517,results/fd004_w48_public_code_evaluation_summary.csv,checkpoints/FD004_w48_seed13.pth
FD004,23,0.0741274356842041,0.49625810980796814,0.2851927727460861,36.20669078938688,0.41093751126118416,results/fd004_w48_public_code_evaluation_summary.csv,checkpoints/FD004_w48_seed23.pth
FD004,33,0.06935897469520569,0.41670921444892883,0.24303409457206726,33.720365927065,0.9219823189639846,results/fd004_w48_public_code_evaluation_summary.csv,checkpoints/FD004_w48_seed33.pth
FD004,43,0.28632768988609314,0.4584011435508728,0.37236441671848297,30.547154080648,0.7633638042443555,results/fd004_w48_public_code_evaluation_summary.csv,checkpoints/FD004_w48_seed43.pth
