metric,generation_seed,mean,sample_std,pooled_within_std,between_generation_std_of_means,corrected_generation_component_std,total_std
rmse,3,14.755284393105962,0.2346373293913654,,,,
rmse,13,13.986405649605413,0.25482329846624524,,,,
rmse,23,17.63330293249744,0.4087428707216656,,,,
rmse,33,15.184893723999105,0.18472859566530547,,,,
rmse,43,15.229920464831697,0.8842692729493584,,,,
rmse,aggregate,15.357961432807922,,0.4697056791842697,1.3663739186385013,1.3501307346045945,1.3189645909429266
discriminative_score,3,0.3590524003765296,0.010735956563072371,,,,
discriminative_score,13,0.2127078757452149,0.011950450799631557,,,,
discriminative_score,23,0.4227486664574835,0.004685130312328535,,,,
discriminative_score,33,0.2631314716033887,0.006765647807298796,,,,
discriminative_score,43,0.30859742704738,0.004259137734702916,,,,
discriminative_score,aggregate,0.3132475682459993,,0.008293837811021726,0.0817466358329779,0.08166244498471988,0.07500722307243174
