metric,generation_seed,mean,sample_std,pooled_within_std,between_generation_std_of_means,corrected_generation_component_std,total_std
rmse,3,20.409536777019913,1.6509612403847551,,,,
rmse,13,18.83345277977101,1.4855389069543745,,,,
rmse,23,21.965241755313162,1.940107450093998,,,,
rmse,33,20.780698670230713,1.5643818028238659,,,,
rmse,43,21.597394764996196,1.1459087472766871,,,,
rmse,aggregate,20.717264949466202,,1.578411420468686,1.2226552412532024,0.998303218722013,1.8226053813222758
discriminative_score,3,0.23454045954045952,0.0223441695842398,,,,
discriminative_score,13,0.12347652347652346,0.009209233557933476,,,,
discriminative_score,23,0.16845654345654346,0.00758918233588156,,,,
discriminative_score,33,0.14565434565434568,0.01660242845484278,,,,
discriminative_score,43,0.28588911088911084,0.01043458516111031,,,,
discriminative_score,aggregate,0.1916033966033966,,0.0143261214831072,0.06712255624563582,0.06681609091827202,0.06265431159476903
