generation_seed,evaluator_seed,rmse,mae,rul_score,discriminative_score,fake_accuracy,real_accuracy,predictive_seconds,discriminative_seconds
3,3,27.109283905120684,22.1854157134833,20.795100222336092,0.11639383726528651,0.3636254212806933,0.8691622532498796,25.459442615509033,36.977460861206055
3,13,27.031324827585482,22.2433348217526,16.419239241247283,0.14612421762156957,0.4126143476167549,0.8796340876263842,25.817010164260864,35.99203681945801
3,23,26.75502289692319,21.952826544124648,17.343075307246032,0.1297544535387578,0.4535387578237843,0.8059701492537313,25.16598415374756,35.851478576660156
3,33,27.20392671336544,22.365377838547165,15.92266481885688,0.13811988444872414,0.41345690900337023,0.862782859894078,24.904982328414917,36.384371280670166
3,43,26.85273859344961,22.00446200278735,18.029818014479705,0.12283341357727495,0.3153586904188734,0.9303081367356765,25.310831785202026,36.20734477043152
13,3,22.813606965103034,17.570354198396895,25.96139351793697,0.09496870486278286,0.6568367838228214,0.5331006259027443,25.165947675704956,36.96873426437378
13,13,23.49355389380816,18.20813227988578,27.935380054749352,0.10640346653827637,0.5176937891189215,0.6951131439576312,25.376914024353027,36.73949909210205
13,23,23.992395712498187,18.621732792799076,33.2716102340898,0.08594126143476166,0.5649975926817525,0.6068849301877708,25.475550651550293,36.38863825798035
13,33,23.668700946540156,18.6800899026937,24.012786434132018,0.08407558979297058,0.6951131439576312,0.47303803562831004,25.35662603378296,36.35617780685425
13,43,23.733539065721224,18.522974500324736,32.286598848328,0.16207270101107363,0.6582811747713048,0.6658642272508426,25.561657667160034,36.837491035461426
23,3,28.598980462114152,23.150211128028662,71.15623544164103,0.4474000962927299,0.9144198363023591,0.9803803562831006,25.205553770065308,35.293020248413086
23,13,25.623105040987063,20.64741085302876,44.28422375583586,0.46322821376986034,0.9888059701492538,0.937650457390467,24.43257212638855,35.02063345909119
23,23,26.56363970939452,21.869381532705887,38.033926249999304,0.47472315840154067,0.9792970630717381,0.9701492537313433,24.4060115814209,34.97768568992615
23,33,27.107858799417194,22.26314466616362,43.95970256810627,0.4901299951853635,0.9876023110255175,0.9926576793452094,24.41032361984253,35.227309226989746
23,43,26.353817192409345,21.63932701611611,46.23597390157643,0.40593403948001927,0.9236880115551276,0.888180067404911,24.7641544342041,35.24079442024231
33,3,25.767949538454076,20.26320305938426,32.237064348522594,0.09153827636013478,0.6693548387096774,0.5137217140105922,24.268633365631104,35.38883662223816
33,13,25.129387659989728,19.492467547015334,32.673763128566385,0.11380597014925375,0.6427539720751083,0.5848579682233991,24.261735439300537,34.98295521736145
33,23,25.217960415574627,19.658268711281558,31.354156364391745,0.08714492055849787,0.6803081367356765,0.4939817043813192,25.322409629821777,35.51986384391785
33,33,25.17622897045368,19.790626524037837,26.94709772317557,0.12638420799229655,0.5421280693307655,0.7106403466538276,24.6142156124115,34.95992183685303
33,43,24.771305799532865,19.309473488781904,27.8912184961257,0.0750481463649495,0.5546461242176216,0.5954501685122773,24.503665924072266,34.80951523780823
43,3,31.45256767656544,25.074012215073044,167.1268066692015,0.4193548387096774,0.9259749638902263,0.9127347135291286,24.468045711517334,34.96079897880554
43,13,31.437549069830826,25.21655236616098,160.5036614040156,0.4371088107847857,0.8892633606162734,0.9849542609532981,24.46955132484436,35.334741830825806
43,23,30.780654668136325,24.652190700000777,153.69898632151853,0.4277202696196437,0.9315117958594126,0.9239287433798749,24.654931783676147,35.02399682998657
43,33,31.37599794792572,25.098563766847708,146.11487311481264,0.4244703899855561,0.915743861338469,0.9331969186326432,24.221242904663086,34.571012020111084
43,43,31.784005785857364,25.495110347924545,175.62949685384572,0.39684641309581126,0.8443668753009148,0.9493259508907077,25.40620994567871,36.470736503601074
