metric,generation_seed,mean,sample_std,pooled_within_std,between_generation_std_of_means,corrected_generation_component_std,total_std
rmse,3,35.732541907721796,0.47992256488863655,,,,
rmse,13,30.176715175557877,0.3234083456888517,,,,
rmse,23,36.20669078938688,0.41093751126118416,,,,
rmse,33,33.720365927065,0.9219823189639846,,,,
rmse,43,30.547154080648,0.7633638042443555,,,,
rmse,aggregate,33.276693576075914,,0.6223445924284463,2.8228164921700687,2.809062190504572,2.6387506103255673
discriminative_score,3,0.2891725529767911,0.03491243440736112,,,,
discriminative_score,13,0.4645206861755803,0.022736617933491434,,,,
discriminative_score,23,0.24090817356205854,0.02950001311207095,,,,
discriminative_score,33,0.4582744702320888,0.0048126164319577695,,,,
discriminative_score,43,0.47283551967709386,0.012075751159414564,,,,
discriminative_score,aggregate,0.38514228052472255,,0.023558725296159242,0.11107769675439204,0.11057690540408832,0.10365515043418637
