generation_seed,evaluator_seed,rmse,mae,rul_score,discriminative_score,fake_accuracy,real_accuracy,predictive_seconds,discriminative_seconds
3,3,26.752221216475576,21.869705741469925,18.276639578971,0.1359532980259991,0.46076071256620127,0.8111458834857969,20.489598512649536,28.34166121482849
3,13,26.63694420110661,21.951012835999713,17.223466128662555,0.137217140105922,0.47315840154068367,0.8012758786711603,20.367266178131104,28.158635139465332
3,23,26.66953340864204,21.89256257163972,16.81189201447974,0.13276360134809817,0.40659605199807414,0.8589311506981223,20.611088514328003,28.390397548675537
3,33,26.969994952931692,22.237346884826895,17.43186330891944,0.14052720269619645,0.5621088107847857,0.7189455946076071,19.759069442749023,27.706759452819824
3,43,26.891942673524742,22.10963587227015,17.43327357961765,0.15659605199807414,0.39925373134328357,0.9139383726528647,19.82308530807495,26.73784875869751
13,3,24.090837809936097,18.467510974545277,35.97784883132606,0.21599662975445355,0.6439576311988445,0.7880356283100626,20.10586667060852,26.449684381484985
13,13,23.056565906473804,17.738856547587627,30.416902458718507,0.06842802118440061,0.5860616273471353,0.5507944150216658,20.091191053390503,26.73987102508545
13,23,23.464280004193434,18.108263711671572,32.96803821327205,0.07799711121810304,0.5743861338468945,0.5816080885893115,19.919631242752075,28.07830262184143
13,33,22.534819096659888,17.64251862345515,19.795611846103935,0.10435724602792484,0.6846413095811267,0.5240731824747231,20.877378702163696,27.721912622451782
13,43,23.399666217533564,18.129341799319942,29.00489404578895,0.08690418873375061,0.7083533943187289,0.46545498314877226,20.702226638793945,27.993823289871216
23,3,27.29081193822318,22.23686682211386,52.61524024647954,0.38818006740491096,0.8466538276360135,0.9297063071738084,20.79603934288025,28.218682289123535
23,13,25.548234449229096,20.845807587317978,40.33444824326861,0.4422243620606644,0.931391429947039,0.9530572941742899,20.81395983695984,27.37946844100952
23,23,26.272690070158518,21.71665163666125,34.98469742264984,0.484653346172364,0.9849542609532981,0.9843524313914299,20.854265213012695,27.981393575668335
23,33,26.938709285411765,22.3052180153983,39.21731477248072,0.4892874337987482,0.9932595089070775,0.9853153586904189,20.846954345703125,28.322430849075317
23,43,26.13335829582047,21.31385798804088,41.902852977514904,0.4901901781415503,0.9808618199325951,0.9995185363505056,20.901472091674805,28.105215072631836
33,3,25.591376242765126,20.159437094876203,31.741881915957205,0.09436687530091481,0.6047183437650457,0.5840154068367838,20.884101390838623,28.293763399124146
33,13,24.336614160303206,19.058071370290513,23.78479029948462,0.08184882041405872,0.6936687530091478,0.4700288878189697,21.28382420539856,28.261502027511597
33,23,24.486678878982314,18.95247270701935,28.81925989410942,0.10056571978815598,0.6504573904670198,0.5506740491092923,21.578648805618286,28.155808210372925
33,33,24.520876778935165,19.204430940988903,24.881400446832764,0.09520943668753012,0.5950890707751565,0.5953298025999038,20.67727780342102,28.231308460235596
33,43,24.546703075380435,19.094540437676272,26.159820222588138,0.09063553201733265,0.6592441020702937,0.5220269619643717,20.77830719947815,28.41853404045105
43,3,31.50932186856459,25.166818981465227,170.4323932622844,0.44746027924891674,0.9238083774675012,0.9711121810303323,20.964858770370483,28.20354199409485
43,13,30.984569679782723,24.737573041879074,145.8944614562616,0.4104477611940298,0.8366634569090033,0.9842320654790563,21.22062349319458,28.61324977874756
43,23,30.94140616898767,24.767463105986018,167.4379868078291,0.42904429465575344,0.8645883485796823,0.9935002407318247,20.922086238861084,27.596397399902344
43,33,31.433401191114008,25.147393950164087,148.73297885488526,0.46130235917188256,0.938613384689456,0.9839913336543091,21.086026668548584,28.423680067062378
43,43,31.73732837209732,25.453866932843184,178.6367964629302,0.3922123254694271,0.8128310062590275,0.9715936446798267,20.7052321434021,28.28344464302063
