metric,generation_seed,mean,sample_std,pooled_within_std,between_generation_std_of_means,corrected_generation_component_std,total_std
rmse,3,26.990459387288883,0.1842246642026416,,,,
rmse,13,23.54035931673415,0.4439838456160173,,,,
rmse,23,26.849480240864455,1.1134286350707072,,,,
rmse,33,25.212566476800994,0.3575715155683671,,,,
rmse,43,31.36615502966314,0.36402989758952703,,,,
rmse,aggregate,26.791804090270325,,0.5884146263560895,2.91690596082805,2.905011881182632,2.7163965341397853
discriminative_score,3,0.1306451612903226,0.011836275494198278,,,,
discriminative_score,13,0.10669234472797302,0.03219718972974222,,,,
discriminative_score,23,0.4562831006259028,0.03220177915475157,,,,
discriminative_score,33,0.09878430428502649,0.020849403450792024,,,,
discriminative_score,43,0.4211001444390948,0.015022912390566518,,,,
discriminative_score,aggregate,0.24270101107366396,,0.023975389655842946,0.1797292749162781,0.17940916476061408,0.16552298826014208
